MSA,Year,Unemployment Rate
"Madison, WI (MSA)",1998,1.9
"New Orleans-Metairie, LA (MSA)",1998,5.4
"Columbus, OH (MSA)",1998,3.2
"Bismarck, ND (MSA)",1998,3.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1998,4.3
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1998,5.4
"Visalia-Porterville, CA (MSA)",1998,15.7
"Salt Lake City, UT (MSA)",1998,3.2
"Davenport-Moline-Rock Island, IA-IL (MSA)",1998,3.1
"Dallas-Fort Worth-Arlington, TX (MSA)",1999,3.2
"Seattle-Tacoma-Bellevue, WA (MSA)",1999,3.7
"Austin-Round Rock, TX (MSA)",1999,2.3
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1999,4.4
"St. Louis, MO-IL (MSA)",1999,3.5
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1999,2.9
"Las Vegas-Henderson-Paradise, NV (MSA)",1999,3.9
"Detroit-Warren-Dearborn, MI (MSA)",1999,3.8
"Denver-Aurora-Lakewood, CO (MSA)",1999,2.5
"Jacksonville, FL (MSA)",1999,3.2
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1999,3.0
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1999,2.2
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1999,3.1
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1999,5.0
"Kansas City, MO-KS (MSA)",1999,3.1
"Cincinnati, OH-KY-IN (MSA)",1999,3.7
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1999,4.8
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1999,2.6
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1999,4.4
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1999,5.1
"Pittsburgh, PA (MSA)",1999,4.5
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1999,2.7
"Memphis, TN-MS-AR (MSA)",1999,3.7
"San Francisco-Oakland-Hayward, CA (MSA)",1999,3.0
"Orlando-Kissimmee-Sanford, FL (MSA)",1999,2.9
"Cleveland-Elyria, OH (MSA)",1999,3.0
"Indianapolis-Carmel-Anderson, IN (MSA)",1999,2.3
"Raleigh, NC (MSA)",1999,1.6
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1999,3.2
"Reno, NV (MSA)",1999,3.3
"Birmingham-Hoover, AL (MSA)",1999,3.3
"San Antonio-New Braunfels, TX (MSA)",1999,3.2
"Richmond, VA (MSA)",1999,2.3
"Albuquerque, NM (MSA)",1999,3.9
"Grand Rapids-Wyoming, MI (MSA)",1999,2.9
"Omaha-Council Bluffs, NE-IA (MSA)",1999,2.5
"Baltimore-Columbia-Towson, MD (MSA)",1999,3.9
"Rochester, NY (MSA)",1999,4.1
"San Diego-Carlsbad, CA (MSA)",1999,3.1
"Flint, MI (MSA)",1999,5.1
"Lexington-Fayette, KY (MSA)",1999,2.0
"Tucson, AZ (MSA)",1999,3.2
"Oklahoma City, OK (MSA)",1999,2.6
"Boise City, ID (MSA)",1999,3.7
"Ames, IA (MSA)",1999,2.2
"Madison, WI (MSA)",1999,1.8
"New Orleans-Metairie, LA (MSA)",1999,4.8
"Columbus, OH (MSA)",1999,3.1
"Bismarck, ND (MSA)",1999,2.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1999,4.1
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1999,5.3
"Visalia-Porterville, CA (MSA)",1999,16.7
"Salt Lake City, UT (MSA)",1999,3.2
"Davenport-Moline-Rock Island, IA-IL (MSA)",1999,4.3
"Dallas-Fort Worth-Arlington, TX (MSA)",2000,3.6
"Seattle-Tacoma-Bellevue, WA (MSA)",2000,4.2
"Austin-Round Rock, TX (MSA)",2000,3.1
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",2000,4.4
"St. Louis, MO-IL (MSA)",2000,3.6
"Tampa-St. Petersburg-Clearwater, FL (MSA)",2000,3.4
"Las Vegas-Henderson-Paradise, NV (MSA)",2000,4.2
"Detroit-Warren-Dearborn, MI (MSA)",2000,3.4
"Denver-Aurora-Lakewood, CO (MSA)",2000,2.6
"Jacksonville, FL (MSA)",2000,3.3
"Atlanta-Sandy Springs-Roswell, GA (MSA)",2000,3.1
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",2000,2.6
"Phoenix-Mesa-Scottsdale, AZ (MSA)",2000,3.3
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",2000,4.4
"Kansas City, MO-KS (MSA)",2000,3.4
"Cincinnati, OH-KY-IN (MSA)",2000,3.8
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",2000,4.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",2000,2.7
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",2000,4.5
"Los Angeles-Long Beach-Anaheim, CA (MSA)",2000,4.9
"Pittsburgh, PA (MSA)",2000,4.4
"Charlotte-Concord-Gastonia, NC-SC (MSA)",2000,3.5
"Memphis, TN-MS-AR (MSA)",2000,3.7
"San Francisco-Oakland-Hayward, CA (MSA)",2000,3.3
"Orlando-Kissimmee-Sanford, FL (MSA)",2000,3.2
"Cleveland-Elyria, OH (MSA)",2000,2.9
"Indianapolis-Carmel-Anderson, IN (MSA)",2000,2.5
"Raleigh, NC (MSA)",2000,2.5
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",2000,3.1
"Reno, NV (MSA)",2000,3.4
"Birmingham-Hoover, AL (MSA)",2000,3.9
"San Antonio-New Braunfels, TX (MSA)",2000,4.0
"Richmond, VA (MSA)",2000,2.0
"Albuquerque, NM (MSA)",2000,4.2
"Grand Rapids-Wyoming, MI (MSA)",2000,3.2
"Omaha-Council Bluffs, NE-IA (MSA)",2000,2.8
"Baltimore-Columbia-Towson, MD (MSA)",2000,3.8
"Rochester, NY (MSA)",2000,3.6
"San Diego-Carlsbad, CA (MSA)",2000,3.9
"Flint, MI (MSA)",2000,4.6
"Lexington-Fayette, KY (MSA)",2000,3.0
"Tucson, AZ (MSA)",2000,3.7
"Oklahoma City, OK (MSA)",2000,2.6
"Boise City, ID (MSA)",2000,3.7
"Ames, IA (MSA)",2000,1.8
"Madison, WI (MSA)",2000,2.5
"New Orleans-Metairie, LA (MSA)",2000,4.9
"Columbus, OH (MSA)",2000,3.5
"Bismarck, ND (MSA)",2000,2.6
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",2000,3.9
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",2000,4.3
"Visalia-Porterville, CA (MSA)",2000,10.3
"Salt Lake City, UT (MSA)",2000,3.2
"Davenport-Moline-Rock Island, IA-IL (MSA)",2000,4.0
"Dallas-Fort Worth-Arlington, TX (MSA)",2001,4.7
"Seattle-Tacoma-Bellevue, WA (MSA)",2001,5.0
"Austin-Round Rock, TX (MSA)",2001,4.3
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",2001,5.5
"St. Louis, MO-IL (MSA)",2001,4.5
"Tampa-St. Petersburg-Clearwater, FL (MSA)",2001,4.3
"Las Vegas-Henderson-Paradise, NV (MSA)",2001,5.4
"Detroit-Warren-Dearborn, MI (MSA)",2001,5.1
"Denver-Aurora-Lakewood, CO (MSA)",2001,3.8
"Jacksonville, FL (MSA)",2001,4.1
"Atlanta-Sandy Springs-Roswell, GA (MSA)",2001,3.7
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",2001,3.5
"Phoenix-Mesa-Scottsdale, AZ (MSA)",2001,4.2
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",2001,4.8
"Kansas City, MO-KS (MSA)",2001,4.4
"Cincinnati, OH-KY-IN (MSA)",2001,4.1
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",2001,4.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",2001,3.5
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",2001,6.0
"Los Angeles-Long Beach-Anaheim, CA (MSA)",2001,5.3
"Pittsburgh, PA (MSA)",2001,4.8
"Charlotte-Concord-Gastonia, NC-SC (MSA)",2001,5.3
"Memphis, TN-MS-AR (MSA)",2001,4.3
"San Francisco-Oakland-Hayward, CA (MSA)",2001,4.5
"Orlando-Kissimmee-Sanford, FL (MSA)",2001,4.2
"Cleveland-Elyria, OH (MSA)",2001,3.5
"Indianapolis-Carmel-Anderson, IN (MSA)",2001,3.5
"Raleigh, NC (MSA)",2001,4.1
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",2001,5.1
"Reno, NV (MSA)",2001,4.3
"Birmingham-Hoover, AL (MSA)",2001,4.3
"San Antonio-New Braunfels, TX (MSA)",2001,4.5
"Richmond, VA (MSA)",2001,3.2
"Albuquerque, NM (MSA)",2001,4.3
"Grand Rapids-Wyoming, MI (MSA)",2001,4.7
"Omaha-Council Bluffs, NE-IA (MSA)",2001,3.3
"Baltimore-Columbia-Towson, MD (MSA)",2001,4.4
"Rochester, NY (MSA)",2001,4.2
"San Diego-Carlsbad, CA (MSA)",2001,4.2
"Flint, MI (MSA)",2001,6.2
"Lexington-Fayette, KY (MSA)",2001,3.9
"Tucson, AZ (MSA)",2001,4.3
"Oklahoma City, OK (MSA)",2001,3.6
"Boise City, ID (MSA)",2001,4.3
"Ames, IA (MSA)",2001,2.1
"Madison, WI (MSA)",2001,3.0
"New Orleans-Metairie, LA (MSA)",2001,5.2
"Columbus, OH (MSA)",2001,3.6
"Bismarck, ND (MSA)",2001,2.6
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",2001,4.3
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",2001,4.8
"Visalia-Porterville, CA (MSA)",2001,11.5
"Salt Lake City, UT (MSA)",2001,4.4
"Davenport-Moline-Rock Island, IA-IL (MSA)",2001,4.4
"Dallas-Fort Worth-Arlington, TX (MSA)",2002,6.5
"Seattle-Tacoma-Bellevue, WA (MSA)",2002,6.3
"Austin-Round Rock, TX (MSA)",2002,5.9
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",2002,6.9
"St. Louis, MO-IL (MSA)",2002,5.3
"Tampa-St. Petersburg-Clearwater, FL (MSA)",2002,5.1
"Las Vegas-Henderson-Paradise, NV (MSA)",2002,5.9
"Detroit-Warren-Dearborn, MI (MSA)",2002,6.2
"Denver-Aurora-Lakewood, CO (MSA)",2002,5.9
"Jacksonville, FL (MSA)",2002,4.8
"Atlanta-Sandy Springs-Roswell, GA (MSA)",2002,5.3
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",2002,4.3
"Phoenix-Mesa-Scottsdale, AZ (MSA)",2002,5.7
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",2002,6.4
"Kansas City, MO-KS (MSA)",2002,5.5
"Cincinnati, OH-KY-IN (MSA)",2002,5.3
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",2002,4.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",2002,4.2
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",2002,7.7
"Los Angeles-Long Beach-Anaheim, CA (MSA)",2002,6.4
"Pittsburgh, PA (MSA)",2002,5.6
"Charlotte-Concord-Gastonia, NC-SC (MSA)",2002,6.6
"Memphis, TN-MS-AR (MSA)",2002,5.2
"San Francisco-Oakland-Hayward, CA (MSA)",2002,6.3
"Orlando-Kissimmee-Sanford, FL (MSA)",2002,5.1
"Cleveland-Elyria, OH (MSA)",2002,4.8
"Indianapolis-Carmel-Anderson, IN (MSA)",2002,4.7
"Raleigh, NC (MSA)",2002,6.0
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",2002,8.4
"Reno, NV (MSA)",2002,4.9
"Birmingham-Hoover, AL (MSA)",2002,5.0
"San Antonio-New Braunfels, TX (MSA)",2002,5.7
"Richmond, VA (MSA)",2002,4.3
"Albuquerque, NM (MSA)",2002,5.1
"Grand Rapids-Wyoming, MI (MSA)",2002,5.9
"Omaha-Council Bluffs, NE-IA (MSA)",2002,3.9
"Baltimore-Columbia-Towson, MD (MSA)",2002,5.1
"Rochester, NY (MSA)",2002,5.5
"San Diego-Carlsbad, CA (MSA)",2002,5.2
"Flint, MI (MSA)",2002,7.4
"Lexington-Fayette, KY (MSA)",2002,4.5
"Tucson, AZ (MSA)",2002,5.8
"Oklahoma City, OK (MSA)",2002,4.3
"Boise City, ID (MSA)",2002,5.3
"Ames, IA (MSA)",2002,2.6
"Madison, WI (MSA)",2002,3.7
"New Orleans-Metairie, LA (MSA)",2002,5.6
"Columbus, OH (MSA)",2002,5.2
"Bismarck, ND (MSA)",2002,3.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",2002,5.3
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",2002,5.6
"Visalia-Porterville, CA (MSA)",2002,12.0
"Salt Lake City, UT (MSA)",2002,5.8
"Davenport-Moline-Rock Island, IA-IL (MSA)",2002,5.1
"Dallas-Fort Worth-Arlington, TX (MSA)",2003,6.6
"Seattle-Tacoma-Bellevue, WA (MSA)",2003,6.4
"Austin-Round Rock, TX (MSA)",2003,6.0
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",2003,6.8
"St. Louis, MO-IL (MSA)",2003,5.9
"Tampa-St. Petersburg-Clearwater, FL (MSA)",2003,4.7
"Las Vegas-Henderson-Paradise, NV (MSA)",2003,5.4
"Detroit-Warren-Dearborn, MI (MSA)",2003,7.2
"Denver-Aurora-Lakewood, CO (MSA)",2003,6.4
"Jacksonville, FL (MSA)",2003,4.5
"Atlanta-Sandy Springs-Roswell, GA (MSA)",2003,5.2
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",2003,4.6
"Phoenix-Mesa-Scottsdale, AZ (MSA)",2003,5.3
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",2003,6.5
"Kansas City, MO-KS (MSA)",2003,6.1
"Cincinnati, OH-KY-IN (MSA)",2003,5.5
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",2003,4.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",2003,4.1
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",2003,8.2
"Los Angeles-Long Beach-Anaheim, CA (MSA)",2003,6.5
"Pittsburgh, PA (MSA)",2003,5.9
"Charlotte-Concord-Gastonia, NC-SC (MSA)",2003,6.9
"Memphis, TN-MS-AR (MSA)",2003,5.7
"San Francisco-Oakland-Hayward, CA (MSA)",2003,6.4
"Orlando-Kissimmee-Sanford, FL (MSA)",2003,4.6
"Cleveland-Elyria, OH (MSA)",2003,5.4
"Indianapolis-Carmel-Anderson, IN (MSA)",2003,4.8
"Raleigh, NC (MSA)",2003,5.6
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",2003,8.5
"Reno, NV (MSA)",2003,4.6
"Birmingham-Hoover, AL (MSA)",2003,5.1
"San Antonio-New Braunfels, TX (MSA)",2003,6.1
"Richmond, VA (MSA)",2003,4.4
"Albuquerque, NM (MSA)",2003,5.4
"Grand Rapids-Wyoming, MI (MSA)",2003,6.8
"Omaha-Council Bluffs, NE-IA (MSA)",2003,4.3
"Baltimore-Columbia-Towson, MD (MSA)",2003,5.2
"Rochester, NY (MSA)",2003,5.6
"San Diego-Carlsbad, CA (MSA)",2003,5.3
"Flint, MI (MSA)",2003,8.2
"Lexington-Fayette, KY (MSA)",2003,4.8
"Tucson, AZ (MSA)",2003,5.4
"Oklahoma City, OK (MSA)",2003,5.0
"Boise City, ID (MSA)",2003,5.3
"Ames, IA (MSA)",2003,2.8
"Madison, WI (MSA)",2003,3.9
"New Orleans-Metairie, LA (MSA)",2003,5.6
"Columbus, OH (MSA)",2003,5.6
"Bismarck, ND (MSA)",2003,3.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",2003,5.5
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",2003,6.0
"Visalia-Porterville, CA (MSA)",2003,12.4
"Salt Lake City, UT (MSA)",2003,5.7
"Davenport-Moline-Rock Island, IA-IL (MSA)",2003,5.5
"Dallas-Fort Worth-Arlington, TX (MSA)",2004,5.8
"Seattle-Tacoma-Bellevue, WA (MSA)",2004,5.5
"Austin-Round Rock, TX (MSA)",2004,5.1
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",2004,6.3
"St. Louis, MO-IL (MSA)",2004,6.0
"Tampa-St. Petersburg-Clearwater, FL (MSA)",2004,3.8
"Las Vegas-Henderson-Paradise, NV (MSA)",2004,4.5
"Detroit-Warren-Dearborn, MI (MSA)",2004,7.2
"Denver-Aurora-Lakewood, CO (MSA)",2004,5.8
"Jacksonville, FL (MSA)",2004,3.9
"Atlanta-Sandy Springs-Roswell, GA (MSA)",2004,5.1
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",2004,4.4
"Phoenix-Mesa-Scottsdale, AZ (MSA)",2004,4.5
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",2004,5.6
"Kansas City, MO-KS (MSA)",2004,6.2
"Cincinnati, OH-KY-IN (MSA)",2004,5.5
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",2004,3.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",2004,4.0
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",2004,7.1
"Los Angeles-Long Beach-Anaheim, CA (MSA)",2004,5.9
"Pittsburgh, PA (MSA)",2004,5.6
"Charlotte-Concord-Gastonia, NC-SC (MSA)",2004,6.3
"Memphis, TN-MS-AR (MSA)",2004,5.8
"San Francisco-Oakland-Hayward, CA (MSA)",2004,5.5
"Orlando-Kissimmee-Sanford, FL (MSA)",2004,3.7
"Cleveland-Elyria, OH (MSA)",2004,5.3
"Indianapolis-Carmel-Anderson, IN (MSA)",2004,4.9
"Raleigh, NC (MSA)",2004,4.7
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",2004,6.5
"Reno, NV (MSA)",2004,4.1
"Birmingham-Hoover, AL (MSA)",2004,4.9
"San Antonio-New Braunfels, TX (MSA)",2004,5.6
"Richmond, VA (MSA)",2004,4.3
"Albuquerque, NM (MSA)",2004,5.2
"Grand Rapids-Wyoming, MI (MSA)",2004,6.2
"Omaha-Council Bluffs, NE-IA (MSA)",2004,4.3
"Baltimore-Columbia-Towson, MD (MSA)",2004,5.0
"Rochester, NY (MSA)",2004,5.3
"San Diego-Carlsbad, CA (MSA)",2004,4.7
"Flint, MI (MSA)",2004,8.0
"Lexington-Fayette, KY (MSA)",2004,4.3
"Tucson, AZ (MSA)",2004,4.6
"Oklahoma City, OK (MSA)",2004,4.3
"Boise City, ID (MSA)",2004,4.5
"Ames, IA (MSA)",2004,3.0
"Madison, WI (MSA)",2004,3.4
"New Orleans-Metairie, LA (MSA)",2004,5.1
"Columbus, OH (MSA)",2004,5.8
"Bismarck, ND (MSA)",2004,3.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",2004,5.1
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",2004,5.9
"Visalia-Porterville, CA (MSA)",2004,11.6
"Salt Lake City, UT (MSA)",2004,5.1
"Davenport-Moline-Rock Island, IA-IL (MSA)",2004,5.1
"Dallas-Fort Worth-Arlington, TX (MSA)",2005,5.3
"Seattle-Tacoma-Bellevue, WA (MSA)",2005,4.8
"Austin-Round Rock, TX (MSA)",2005,4.6
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",2005,5.9
"St. Louis, MO-IL (MSA)",2005,5.5
"Tampa-St. Petersburg-Clearwater, FL (MSA)",2005,3.1
"Las Vegas-Henderson-Paradise, NV (MSA)",2005,4.1
"Detroit-Warren-Dearborn, MI (MSA)",2005,7.0
"Denver-Aurora-Lakewood, CO (MSA)",2005,5.2
"Jacksonville, FL (MSA)",2005,2.9
"Atlanta-Sandy Springs-Roswell, GA (MSA)",2005,5.7
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",2005,3.9
"Phoenix-Mesa-Scottsdale, AZ (MSA)",2005,4.1
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",2005,4.8
"Kansas City, MO-KS (MSA)",2005,5.7
"Cincinnati, OH-KY-IN (MSA)",2005,5.5
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",2005,2.8
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",2005,3.7
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",2005,5.9
"Los Angeles-Long Beach-Anaheim, CA (MSA)",2005,4.9
"Pittsburgh, PA (MSA)",2005,5.3
"Charlotte-Concord-Gastonia, NC-SC (MSA)",2005,5.8
"Memphis, TN-MS-AR (MSA)",2005,6.1
"San Francisco-Oakland-Hayward, CA (MSA)",2005,4.8
"Orlando-Kissimmee-Sanford, FL (MSA)",2005,2.8
"Cleveland-Elyria, OH (MSA)",2005,5.1
"Indianapolis-Carmel-Anderson, IN (MSA)",2005,5.0
"Raleigh, NC (MSA)",2005,4.5
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",2005,5.4
"Reno, NV (MSA)",2005,4.0
"Birmingham-Hoover, AL (MSA)",2005,4.1
"San Antonio-New Braunfels, TX (MSA)",2005,5.1
"Richmond, VA (MSA)",2005,4.1
"Albuquerque, NM (MSA)",2005,4.9
"Grand Rapids-Wyoming, MI (MSA)",2005,5.8
"Omaha-Council Bluffs, NE-IA (MSA)",2005,4.3
"Baltimore-Columbia-Towson, MD (MSA)",2005,4.8
"Rochester, NY (MSA)",2005,4.6
"San Diego-Carlsbad, CA (MSA)",2005,4.3
"Flint, MI (MSA)",2005,7.9
"Lexington-Fayette, KY (MSA)",2005,4.6
"Tucson, AZ (MSA)",2005,4.5
"Oklahoma City, OK (MSA)",2005,4.2
"Boise City, ID (MSA)",2005,3.6
"Ames, IA (MSA)",2005,3.1
"Madison, WI (MSA)",2005,3.4
"New Orleans-Metairie, LA (MSA)",2005,8.0
"Columbus, OH (MSA)",2005,5.5
"Bismarck, ND (MSA)",2005,3.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",2005,4.8
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",2005,5.3
"Visalia-Porterville, CA (MSA)",2005,9.4
"Salt Lake City, UT (MSA)",2005,4.0
"Davenport-Moline-Rock Island, IA-IL (MSA)",2005,4.5
"Dallas-Fort Worth-Arlington, TX (MSA)",2006,4.8
"Seattle-Tacoma-Bellevue, WA (MSA)",2006,4.1
"Austin-Round Rock, TX (MSA)",2006,4.2
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",2006,4.6
"St. Louis, MO-IL (MSA)",2006,5.0
"Tampa-St. Petersburg-Clearwater, FL (MSA)",2006,2.7
"Las Vegas-Henderson-Paradise, NV (MSA)",2006,4.0
"Detroit-Warren-Dearborn, MI (MSA)",2006,7.1
"Denver-Aurora-Lakewood, CO (MSA)",2006,4.3
"Jacksonville, FL (MSA)",2006,2.5
"Atlanta-Sandy Springs-Roswell, GA (MSA)",2006,5.0
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",2006,3.8
"Phoenix-Mesa-Scottsdale, AZ (MSA)",2006,3.7
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",2006,4.5
"Kansas City, MO-KS (MSA)",2006,5.1
"Cincinnati, OH-KY-IN (MSA)",2006,5.2
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",2006,2.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",2006,3.4
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",2006,5.1
"Los Angeles-Long Beach-Anaheim, CA (MSA)",2006,4.4
"Pittsburgh, PA (MSA)",2006,4.8
"Charlotte-Concord-Gastonia, NC-SC (MSA)",2006,5.3
"Memphis, TN-MS-AR (MSA)",2006,5.7
"San Francisco-Oakland-Hayward, CA (MSA)",2006,4.2
"Orlando-Kissimmee-Sanford, FL (MSA)",2006,2.4
"Cleveland-Elyria, OH (MSA)",2006,4.9
"Indianapolis-Carmel-Anderson, IN (MSA)",2006,4.5
"Raleigh, NC (MSA)",2006,4.0
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",2006,4.5
"Reno, NV (MSA)",2006,3.8
"Birmingham-Hoover, AL (MSA)",2006,3.7
"San Antonio-New Braunfels, TX (MSA)",2006,4.7
"Richmond, VA (MSA)",2006,3.5
"Albuquerque, NM (MSA)",2006,4.0
"Grand Rapids-Wyoming, MI (MSA)",2006,6.1
"Omaha-Council Bluffs, NE-IA (MSA)",2006,3.4
"Baltimore-Columbia-Towson, MD (MSA)",2006,4.4
"Rochester, NY (MSA)",2006,4.4
"San Diego-Carlsbad, CA (MSA)",2006,4.0
"Flint, MI (MSA)",2006,8.5
"Lexington-Fayette, KY (MSA)",2006,4.5
"Tucson, AZ (MSA)",2006,4.1
"Oklahoma City, OK (MSA)",2006,3.9
"Boise City, ID (MSA)",2006,3.0
"Ames, IA (MSA)",2006,2.6
"Madison, WI (MSA)",2006,3.4
"New Orleans-Metairie, LA (MSA)",2006,4.5
"Columbus, OH (MSA)",2006,4.8
"Bismarck, ND (MSA)",2006,2.8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",2006,4.6
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",2006,5.0
"Visalia-Porterville, CA (MSA)",2006,8.5
"Salt Lake City, UT (MSA)",2006,2.8
"Davenport-Moline-Rock Island, IA-IL (MSA)",2006,4.1
"Dallas-Fort Worth-Arlington, TX (MSA)",2007,4.3
"Seattle-Tacoma-Bellevue, WA (MSA)",2007,3.6
"Austin-Round Rock, TX (MSA)",2007,3.7
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",2007,5.0
"St. Louis, MO-IL (MSA)",2007,5.3
"Tampa-St. Petersburg-Clearwater, FL (MSA)",2007,3.6
"Las Vegas-Henderson-Paradise, NV (MSA)",2007,4.6
"Detroit-Warren-Dearborn, MI (MSA)",2007,7.3
"Denver-Aurora-Lakewood, CO (MSA)",2007,3.8
"Jacksonville, FL (MSA)",2007,3.2
"Atlanta-Sandy Springs-Roswell, GA (MSA)",2007,4.8
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",2007,4.4
"Phoenix-Mesa-Scottsdale, AZ (MSA)",2007,3.3
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",2007,4.3
"Kansas City, MO-KS (MSA)",2007,5.1
"Cincinnati, OH-KY-IN (MSA)",2007,5.0
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",2007,3.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",2007,3.2
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",2007,5.0
"Los Angeles-Long Beach-Anaheim, CA (MSA)",2007,4.8
"Pittsburgh, PA (MSA)",2007,4.5
"Charlotte-Concord-Gastonia, NC-SC (MSA)",2007,5.4
"Memphis, TN-MS-AR (MSA)",2007,5.1
"San Francisco-Oakland-Hayward, CA (MSA)",2007,4.3
"Orlando-Kissimmee-Sanford, FL (MSA)",2007,3.2
"Cleveland-Elyria, OH (MSA)",2007,5.7
"Indianapolis-Carmel-Anderson, IN (MSA)",2007,4.2
"Raleigh, NC (MSA)",2007,3.9
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",2007,4.7
"Reno, NV (MSA)",2007,4.4
"Birmingham-Hoover, AL (MSA)",2007,3.6
"San Antonio-New Braunfels, TX (MSA)",2007,4.1
"Richmond, VA (MSA)",2007,3.4
"Albuquerque, NM (MSA)",2007,3.6
"Grand Rapids-Wyoming, MI (MSA)",2007,6.2
"Omaha-Council Bluffs, NE-IA (MSA)",2007,3.3
"Baltimore-Columbia-Towson, MD (MSA)",2007,3.9
