MSA,Year,HPI (Not Seasonally Adjusted)
"Abilene, TX",1986,103.12
"Abilene, TX",1987,97.3725
"Abilene, TX",1988,84.2
"Abilene, TX",1989,82.2525
"Abilene, TX",1990,80.4175
"Abilene, TX",1991,85.5
"Abilene, TX",1992,91.7975
"Abilene, TX",1993,96.7125
"Abilene, TX",1994,98.14
"Abilene, TX",1995,100.8225
"Abilene, TX",1996,105.25
"Abilene, TX",1997,106.8775
"Abilene, TX",1998,109.715
"Abilene, TX",1999,113.7775
"Abilene, TX",2000,115.045
"Abilene, TX",2001,119.95
"Abilene, TX",2002,123.255
"Abilene, TX",2003,126.5625
"Abilene, TX",2004,132.215
"Abilene, TX",2005,141.255
"Abilene, TX",2006,153.33
"Abilene, TX",2007,162.56
"Abilene, TX",2008,165.68
"Abilene, TX",2009,169.375
"Abilene, TX",2010,169.455
"Abilene, TX",2011,167.515
"Abilene, TX",2012,170.375
"Abilene, TX",2013,175.9125
"Abilene, TX",2014,185.91
"Abilene, TX",2015,190.7725
"Abilene, TX",2016,199.355
"Abilene, TX",2017,206.8825
"Abilene, TX",2018,217.985
"Abilene, TX",2019,225.2925
"Abilene, TX",2020,235.4575
"Abilene, TX",2021,266.0625
"Abilene, TX",2022,302.1775
"Abilene, TX",2023,318.86
"Akron, OH",1976,39.655
"Akron, OH",1977,42.925
"Akron, OH",1978,49.9025
"Akron, OH",1979,55.46
"Akron, OH",1980,56.485
"Akron, OH",1981,56.15
"Akron, OH",1982,52.2175
"Akron, OH",1983,57.29
"Akron, OH",1984,57.2075
"Akron, OH",1985,59.235
"Akron, OH",1986,62.62
"Akron, OH",1987,66.8875
"Akron, OH",1988,70.8275
"Akron, OH",1989,74.8175
"Akron, OH",1990,79.7525
"Akron, OH",1991,83.455
"Akron, OH",1992,88.3225
"Akron, OH",1993,92.9975
"Akron, OH",1994,97.3475
"Akron, OH",1995,102.36
"Akron, OH",1996,108.13
"Akron, OH",1997,113.08
"Akron, OH",1998,119.19
"Akron, OH",1999,123.3925
"Akron, OH",2000,126.83
"Akron, OH",2001,134.0675
"Akron, OH",2002,138.1125
"Akron, OH",2003,142.1475
"Akron, OH",2004,145.9375
"Akron, OH",2005,150.7875
"Akron, OH",2006,150.7475
"Akron, OH",2007,148.11
"Akron, OH",2008,143.6825
"Akron, OH",2009,139.95
"Akron, OH",2010,135.7775
"Akron, OH",2011,130.3875
"Akron, OH",2012,127.1975
"Akron, OH",2013,128.845
"Akron, OH",2014,132.2225
"Akron, OH",2015,137.2025
"Akron, OH",2016,141.1775
"Akron, OH",2017,146.805
"Akron, OH",2018,154.0275
"Akron, OH",2019,161.5375
"Akron, OH",2020,170.755
"Akron, OH",2021,191.16
"Akron, OH",2022,218.7975
"Akron, OH",2023,226.095
Alabama,1975,73.44
Alabama,1976,76.9975
Alabama,1977,85.6075
Alabama,1978,92.515
Alabama,1979,102.3175
Alabama,1980,105.445
Alabama,1981,108.3675
Alabama,1982,109.82
Alabama,1983,114.915
Alabama,1984,122.4275
Alabama,1985,125.375
Alabama,1986,132.6525
Alabama,1987,138.785
Alabama,1988,142.2575
Alabama,1989,144.2375
Alabama,1990,146.7125
Alabama,1991,151.395
Alabama,1992,157.4075
Alabama,1993,164.1325
Alabama,1994,170.11
Alabama,1995,176.955
Alabama,1996,184.115
Alabama,1997,191.025
Alabama,1998,200.745
Alabama,1999,205.9375
Alabama,2000,211.105
Alabama,2001,222.75
Alabama,2002,229.28
Alabama,2003,238.405
Alabama,2004,247.48
Alabama,2005,264.915
Alabama,2006,285.9025
Alabama,2007,299.39
Alabama,2008,302.7575
Alabama,2009,298.39
Alabama,2010,287.1775
Alabama,2011,277.54
Alabama,2012,276.025
Alabama,2013,274.02
Alabama,2014,277.2175
Alabama,2015,284.825
Alabama,2016,293.0725
Alabama,2017,301.8775
Alabama,2018,314.23
Alabama,2019,329.925
Alabama,2020,349.0475
Alabama,2021,394.535
Alabama,2022,461.19
Alabama,2023,485.09
Alaska,1975,67.7575
Alaska,1976,73.115
Alaska,1977,80.785
Alaska,1978,85.5575
Alaska,1979,95.095
Alaska,1980,87.7625
Alaska,1981,110.7025
Alaska,1982,136.0275
Alaska,1983,142.5925
Alaska,1984,150.86
Alaska,1985,144.1075
Alaska,1986,141.055
Alaska,1987,119.545
Alaska,1988,123.3725
Alaska,1989,109.545
Alaska,1990,113.085
Alaska,1991,128.2925
Alaska,1992,134.3075
Alaska,1993,137
Alaska,1994,143.2025
Alaska,1995,149.2225
Alaska,1996,156.02
Alaska,1997,160.3125
Alaska,1998,165.3375
Alaska,1999,171.0775
Alaska,2000,174.0275
Alaska,2001,182.7375
Alaska,2002,192.6025
Alaska,2003,202.12
Alaska,2004,222.4025
Alaska,2005,249.685
Alaska,2006,274.42
Alaska,2007,285.14
Alaska,2008,283.955
Alaska,2009,282.5075
Alaska,2010,280.845
Alaska,2011,283.15
Alaska,2012,284.4575
Alaska,2013,292.865
Alaska,2014,298.915
Alaska,2015,308.7425
Alaska,2016,314.7525
Alaska,2017,318.795
Alaska,2018,322.0725
Alaska,2019,329.37
Alaska,2020,340.15
Alaska,2021,368.645
Alaska,2022,412.2975
Alaska,2023,433.445
"Albany-Lebanon, OR",1987,47.47
"Albany-Lebanon, OR",1988,47.93666667
"Albany-Lebanon, OR",1989,51.6575
"Albany-Lebanon, OR",1990,57.5675
"Albany-Lebanon, OR",1991,64.04
"Albany-Lebanon, OR",1992,70.2775
"Albany-Lebanon, OR",1993,79.9025
"Albany-Lebanon, OR",1994,91.6075
"Albany-Lebanon, OR",1995,103.1575
"Albany-Lebanon, OR",1996,110.5875
"Albany-Lebanon, OR",1997,117.605
"Albany-Lebanon, OR",1998,123.425
"Albany-Lebanon, OR",1999,125.2875
"Albany-Lebanon, OR",2000,125.5175
"Albany-Lebanon, OR",2001,130.96
"Albany-Lebanon, OR",2002,132.4125
"Albany-Lebanon, OR",2003,135.825
"Albany-Lebanon, OR",2004,141.775
"Albany-Lebanon, OR",2005,155.785
"Albany-Lebanon, OR",2006,179
"Albany-Lebanon, OR",2007,194.49
"Albany-Lebanon, OR",2008,193.11
"Albany-Lebanon, OR",2009,181.89
"Albany-Lebanon, OR",2010,168.7075
"Albany-Lebanon, OR",2011,158.4425
"Albany-Lebanon, OR",2012,154.1225
"Albany-Lebanon, OR",2013,159.145
"Albany-Lebanon, OR",2014,168.0425
"Albany-Lebanon, OR",2015,181.3675
"Albany-Lebanon, OR",2016,197.6925
"Albany-Lebanon, OR",2017,220.5225
"Albany-Lebanon, OR",2018,244.47
"Albany-Lebanon, OR",2019,264.9225
"Albany-Lebanon, OR",2020,284.2925
"Albany-Lebanon, OR",2021,334.2825
"Albany-Lebanon, OR",2022,385.925
"Albany-Lebanon, OR",2023,389.915
"Albany-Schenectady-Troy, NY",1979,38.74
"Albany-Schenectady-Troy, NY",1980,40.055
"Albany-Schenectady-Troy, NY",1981,42.15333333
"Albany-Schenectady-Troy, NY",1982,44.195
"Albany-Schenectady-Troy, NY",1983,47.3425
"Albany-Schenectady-Troy, NY",1984,53.765
"Albany-Schenectady-Troy, NY",1985,59.63
"Albany-Schenectady-Troy, NY",1986,71.865
"Albany-Schenectady-Troy, NY",1987,86.525
"Albany-Schenectady-Troy, NY",1988,97.51
"Albany-Schenectady-Troy, NY",1989,102.3775
"Albany-Schenectady-Troy, NY",1990,104.09
"Albany-Schenectady-Troy, NY",1991,105.3225
"Albany-Schenectady-Troy, NY",1992,107.3925
"Albany-Schenectady-Troy, NY",1993,107.35
"Albany-Schenectady-Troy, NY",1994,104.4925
"Albany-Schenectady-Troy, NY",1995,101.3425
"Albany-Schenectady-Troy, NY",1996,101.02
"Albany-Schenectady-Troy, NY",1997,100.34
"Albany-Schenectady-Troy, NY",1998,102.6025
"Albany-Schenectady-Troy, NY",1999,103.735
"Albany-Schenectady-Troy, NY",2000,106.1375
"Albany-Schenectady-Troy, NY",2001,112.0925
"Albany-Schenectady-Troy, NY",2002,119.9175
"Albany-Schenectady-Troy, NY",2003,131.31
"Albany-Schenectady-Troy, NY",2004,150.125
"Albany-Schenectady-Troy, NY",2005,172.215
"Albany-Schenectady-Troy, NY",2006,187.425
"Albany-Schenectady-Troy, NY",2007,193.315
"Albany-Schenectady-Troy, NY",2008,192.9725
"Albany-Schenectady-Troy, NY",2009,190.435
"Albany-Schenectady-Troy, NY",2010,187.9725
"Albany-Schenectady-Troy, NY",2011,185.7675
"Albany-Schenectady-Troy, NY",2012,184.7975
"Albany-Schenectady-Troy, NY",2013,185.185
"Albany-Schenectady-Troy, NY",2014,183.8625
"Albany-Schenectady-Troy, NY",2015,187.125
"Albany-Schenectady-Troy, NY",2016,191.565
"Albany-Schenectady-Troy, NY",2017,196.01
"Albany-Schenectady-Troy, NY",2018,201.2875
"Albany-Schenectady-Troy, NY",2019,207.335
"Albany-Schenectady-Troy, NY",2020,215.7525
"Albany-Schenectady-Troy, NY",2021,240.32
"Albany-Schenectady-Troy, NY",2022,270.845
"Albany-Schenectady-Troy, NY",2023,282.86
"Albany, GA",1986,86.0425
"Albany, GA",1987,86.465
"Albany, GA",1988,88.815
"Albany, GA",1989,86.93
"Albany, GA",1990,90.3075
"Albany, GA",1991,91.255
"Albany, GA",1992,93.57
"Albany, GA",1993,96.5775
"Albany, GA",1994,98.76
"Albany, GA",1995,102.19
"Albany, GA",1996,107.0525
"Albany, GA",1997,111.3175
"Albany, GA",1998,115.2675
"Albany, GA",1999,118.5675
"Albany, GA",2000,122.1075
"Albany, GA",2001,126.9325
"Albany, GA",2002,130.65
"Albany, GA",2003,135.83
"Albany, GA",2004,140.855
"Albany, GA",2005,149.365
"Albany, GA",2006,158.1825
"Albany, GA",2007,164.8225
"Albany, GA",2008,166.8475
"Albany, GA",2009,163.0125
"Albany, GA",2010,157.6925
"Albany, GA",2011,150.61
"Albany, GA",2012,146.525
"Albany, GA",2013,146.42
"Albany, GA",2014,143.2525
"Albany, GA",2015,144.055
"Albany, GA",2016,146.2175
"Albany, GA",2017,149.6975
"Albany, GA",2018,153.1775
"Albany, GA",2019,158.25
"Albany, GA",2020,164.5225
"Albany, GA",2021,184.9425
"Albany, GA",2022,213.87
"Albany, GA",2023,220.115
"Albuquerque, NM",1977,38.05
"Albuquerque, NM",1978,42.8125
"Albuquerque, NM",1979,49.255
"Albuquerque, NM",1980,54.1425
"Albuquerque, NM",1981,56.8775
"Albuquerque, NM",1982,55.8875
"Albuquerque, NM",1983,63.075
"Albuquerque, NM",1984,66.7125
"Albuquerque, NM",1985,69.6575
"Albuquerque, NM",1986,72.73
"Albuquerque, NM",1987,75.3175
"Albuquerque, NM",1988,75.185
"Albuquerque, NM",1989,75.925
"Albuquerque, NM",1990,75.515
"Albuquerque, NM",1991,76.895
"Albuquerque, NM",1992,80.8475
"Albuquerque, NM",1993,86.13
"Albuquerque, NM",1994,95.875
"Albuquerque, NM",1995,102.7925
"Albuquerque, NM",1996,105.545
"Albuquerque, NM",1997,107.18
"Albuquerque, NM",1998,109.2225
"Albuquerque, NM",1999,109.125
"Albuquerque, NM",2000,109.735
"Albuquerque, NM",2001,114.2025
"Albuquerque, NM",2002,117.48
"Albuquerque, NM",2003,122.27
"Albuquerque, NM",2004,130.3025
"Albuquerque, NM",2005,146.4075
"Albuquerque, NM",2006,169.095
"Albuquerque, NM",2007,180.0825
"Albuquerque, NM",2008,177.0075
"Albuquerque, NM",2009,167.8225
"Albuquerque, NM",2010,161.34
"Albuquerque, NM",2011,153.2925
"Albuquerque, NM",2012,150.7075
"Albuquerque, NM",2013,151.675
"Albuquerque, NM",2014,154.0275
"Albuquerque, NM",2015,156.98
"Albuquerque, NM",2016,162.135
"Albuquerque, NM",2017,167.6925
"Albuquerque, NM",2018,173.85
"Albuquerque, NM",2019,182.075
"Albuquerque, NM",2020,193.4525
"Albuquerque, NM",2021,221.84
"Albuquerque, NM",2022,260.75
"Albuquerque, NM",2023,274.84
"Alexandria, LA",1986,89.17
"Alexandria, LA",1987,87.1475
"Alexandria, LA",1988,86.9875
"Alexandria, LA",1989,84.7275
"Alexandria, LA",1990,83.9525
"Alexandria, LA",1991,86.5325
"Alexandria, LA",1992,89.2575
"Alexandria, LA",1993,92.185
"Alexandria, LA",1994,97.625
"Alexandria, LA",1995,101.86
"Alexandria, LA",1996,107.4825
"Alexandria, LA",1997,112.26
"Alexandria, LA",1998,119.4175
"Alexandria, LA",1999,124.0675
"Alexandria, LA",2000,129.3875
"Alexandria, LA",2001,137.3975
"Alexandria, LA",2002,141.3775
"Alexandria, LA",2003,147.5175
"Alexandria, LA",2004,152.9125
"Alexandria, LA",2005,161.43
"Alexandria, LA",2006,173.295
"Alexandria, LA",2007,183.2075
"Alexandria, LA",2008,187.9875
"Alexandria, LA",2009,188.115
"Alexandria, LA",2010,186.6925
"Alexandria, LA",2011,184.945
"Alexandria, LA",2012,187.9325
"Alexandria, LA",2013,190.5375
"Alexandria, LA",2014,194.2975
"Alexandria, LA",2015,198.9775
"Alexandria, LA",2016,202.235
"Alexandria, LA",2017,206.825
"Alexandria, LA",2018,209.0525
"Alexandria, LA",2019,212.4575
"Alexandria, LA",2020,218.8025
"Alexandria, LA",2021,235.0325
"Alexandria, LA",2022,255.1475
"Alexandria, LA",2023,270.76
"Allentown-Bethlehem-Easton, PA-NJ",1978,45.26333333
"Allentown-Bethlehem-Easton, PA-NJ",1979,46.455
"Allentown-Bethlehem-Easton, PA-NJ",1980,50.6175
"Allentown-Bethlehem-Easton, PA-NJ",1981,51.6875
"Allentown-Bethlehem-Easton, PA-NJ",1982,52.3875
"Allentown-Bethlehem-Easton, PA-NJ",1983,54.02
"Allentown-Bethlehem-Easton, PA-NJ",1984,57.355
"Allentown-Bethlehem-Easton, PA-NJ",1985,62.2725
"Allentown-Bethlehem-Easton, PA-NJ",1986,69.2575
"Allentown-Bethlehem-Easton, PA-NJ",1987,84.21
"Allentown-Bethlehem-Easton, PA-NJ",1988,100.075
"Allentown-Bethlehem-Easton, PA-NJ",1989,105.105
"Allentown-Bethlehem-Easton, PA-NJ",1990,103.3475
"Allentown-Bethlehem-Easton, PA-NJ",1991,102.3925
"Allentown-Bethlehem-Easton, PA-NJ",1992,103.8075
"Allentown-Bethlehem-Easton, PA-NJ",1993,103.98
"Allentown-Bethlehem-Easton, PA-NJ",1994,101.985
"Allentown-Bethlehem-Easton, PA-NJ",1995,101.235
"Allentown-Bethlehem-Easton, PA-NJ",1996,102.5875
"Allentown-Bethlehem-Easton, PA-NJ",1997,103.86
"Allentown-Bethlehem-Easton, PA-NJ",1998,106.5225
"Allentown-Bethlehem-Easton, PA-NJ",1999,108.2675
"Allentown-Bethlehem-Easton, PA-NJ",2000,111.2875
"Allentown-Bethlehem-Easton, PA-NJ",2001,118.75
"Allentown-Bethlehem-Easton, PA-NJ",2002,126.6625
"Allentown-Bethlehem-Easton, PA-NJ",2003,136.6175
"Allentown-Bethlehem-Easton, PA-NJ",2004,153.7875
"Allentown-Bethlehem-Easton, PA-NJ",2005,175.875
"Allentown-Bethlehem-Easton, PA-NJ",2006,194.7325
"Allentown-Bethlehem-Easton, PA-NJ",2007,199.75
"Allentown-Bethlehem-Easton, PA-NJ",2008,192.1025
"Allentown-Bethlehem-Easton, PA-NJ",2009,181.5675
"Allentown-Bethlehem-Easton, PA-NJ",2010,173.92
"Allentown-Bethlehem-Easton, PA-NJ",2011,166.1625
"Allentown-Bethlehem-Easton, PA-NJ",2012,160.4
"Allentown-Bethlehem-Easton, PA-NJ",2013,160.3975
"Allentown-Bethlehem-Easton, PA-NJ",2014,163.165
"Allentown-Bethlehem-Easton, PA-NJ",2015,165.825
"Allentown-Bethlehem-Easton, PA-NJ",2016,168.815
"Allentown-Bethlehem-Easton, PA-NJ",2017,174.665
"Allentown-Bethlehem-Easton, PA-NJ",2018,181.2775
"Allentown-Bethlehem-Easton, PA-NJ",2019,188.8125
"Allentown-Bethlehem-Easton, PA-NJ",2020,199.1975
"Allentown-Bethlehem-Easton, PA-NJ",2021,227.675
"Allentown-Bethlehem-Easton, PA-NJ",2022,264.0125
"Allentown-Bethlehem-Easton, PA-NJ",2023,280.095
"Altoona, PA",1993,87.54
"Altoona, PA",1994,93.405
"Altoona, PA",1995,100.0525
"Altoona, PA",1996,104.22
"Altoona, PA",1997,106.07
"Altoona, PA",1998,112.9975
"Altoona, PA",1999,115.5875
"Altoona, PA",2000,118.475
"Altoona, PA",2001,127.2025
"Altoona, PA",2002,131.38
"Altoona, PA",2003,136.85
"Altoona, PA",2004,143.185
"Altoona, PA",2005,150.66
"Altoona, PA",2006,158.48
"Altoona, PA",2007,165.3375
"Altoona, PA",2008,170.1925
"Altoona, PA",2009,170.895
"Altoona, PA",2010,171.6275
"Altoona, PA",2011,173.31
"Altoona, PA",2012,177.9025
"Altoona, PA",2013,178.9775
"Altoona, PA",2014,179.245
"Altoona, PA",2015,181.8075
"Altoona, PA",2016,187.495
"Altoona, PA",2017,192.7475
"Altoona, PA",2018,194.5175
"Altoona, PA",2019,201.4975
"Altoona, PA",2020,208.9275
"Altoona, PA",2021,227.0475
"Altoona, PA",2022,255.7975
"Altoona, PA",2023,263.43
"Amarillo, TX",1979,65.14
"Amarillo, TX",1980,65.12
"Amarillo, TX",1981,74.4675
"Amarillo, TX",1982,69.24
"Amarillo, TX",1983,80.9925
"Amarillo, TX",1984,85.4325
"Amarillo, TX",1985,84.3675
"Amarillo, TX",1986,85.085
"Amarillo, TX",1987,83.9175
"Amarillo, TX",1988,78.2075
"Amarillo, TX",1989,76.025
"Amarillo, TX",1990,74.3875
"Amarillo, TX",1991,78.7925
"Amarillo, TX",1992,82.39
"Amarillo, TX",1993,87.7925
"Amarillo, TX",1994,96.7075
"Amarillo, TX",1995,102.25
"Amarillo, TX",1996,104.32
"Amarillo, TX",1997,107.4
"Amarillo, TX",1998,110.4625
"Amarillo, TX",1999,116.3325
"Amarillo, TX",2000,121.44
"Amarillo, TX",2001,127.1375
"Amarillo, TX",2002,132.15
"Amarillo, TX",2003,136.025
"Amarillo, TX",2004,140.5275
"Amarillo, TX",2005,147.785
"Amarillo, TX",2006,155.505
"Amarillo, TX",2007,161.61
"Amarillo, TX",2008,164.0775
"Amarillo, TX",2009,165.4375
"Amarillo, TX",2010,165.94
"Amarillo, TX",2011,164.76
"Amarillo, TX",2012,167.4025
"Amarillo, TX",2013,170.9225
"Amarillo, TX",2014,173.215
"Amarillo, TX",2015,180.7275
"Amarillo, TX",2016,187.4275
"Amarillo, TX",2017,193.08
"Amarillo, TX",2018,197.835
"Amarillo, TX",2019,203.105
"Amarillo, TX",2020,210.14
"Amarillo, TX",2021,236.53
"Amarillo, TX",2022,272.21
"Amarillo, TX",2023,284.39
"Ames, IA",1986,67.63
"Ames, IA",1987,69.19
"Ames, IA",1988,70.8625
"Ames, IA",1989,73.48
"Ames, IA",1990,77.5675
"Ames, IA",1991,82.0625
"Ames, IA",1992,86.775
"Ames, IA",1993,92.1825
"Ames, IA",1994,98.255
"Ames, IA",1995,103.3425
"Ames, IA",1996,108.0575
"Ames, IA",1997,114.725
"Ames, IA",1998,119.775
"Ames, IA",1999,125.34
"Ames, IA",2000,129.845
"Ames, IA",2001,136.6625
"Ames, IA",2002,141.4025
"Ames, IA",2003,146.8625
"Ames, IA",2004,153.9575
"Ames, IA",2005,160.1425
"Ames, IA",2006,163.435
"Ames, IA",2007,167.6775
"Ames, IA",2008,167.6175
"Ames, IA",2009,167.9375
"Ames, IA",2010,166.1375
"Ames, IA",2011,164.52
"Ames, IA",2012,166.515
"Ames, IA",2013,171.455
"Ames, IA",2014,176.9
"Ames, IA",2015,182.98
"Ames, IA",2016,191.0225
"Ames, IA",2017,199.1425
"Ames, IA",2018,204.6
"Ames, IA",2019,212.4525
"Ames, IA",2020,218.2925
"Ames, IA",2021,237.69
"Ames, IA",2022,267.095
"Ames, IA",2023,282.825
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1975,24.41666667
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1976,28.2225
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1977,36.07
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1978,41.5975
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1979,47.19
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1980,54.8875
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1981,62.085
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1982,57.2325
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1983,64.135
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1984,65.155
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1985,67.34
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1986,71.1725
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1987,78.9825
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1988,94.14
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1989,115.6375
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1990,119.8825
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1991,117.195
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1992,115.645
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1993,109.86
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1994,103.285
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1995,100.855
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1996,100.4125
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1997,102.775
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1998,113.705
"Anaheim-Santa Ana-Irvine, CA (MSAD)",1999,124.5
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2000,138.13
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2001,152.695
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2002,173.03
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2003,197.5225
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2004,249.2475
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2005,302.0325
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2006,338.08
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2007,321.49
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2008,263.61
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2009,238.92
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2010,239.445
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2011,230.5475
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2012,230.7875
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2013,257.96
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2014,283.7525
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2015,298.4125
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2016,314.995
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2017,331.1325
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2018,348.115
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2019,355.89
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2020,368.335
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2021,409.2625
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2022,479.6175
"Anaheim-Santa Ana-Irvine, CA (MSAD)",2023,500.15
"Anchorage, AK",1978,61.08666667
"Anchorage, AK",1979,68.9975
"Anchorage, AK",1982,96.995
"Anchorage, AK",1983,103.995
"Anchorage, AK",1984,108.475
"Anchorage, AK",1985,103.8675
"Anchorage, AK",1986,100.715
"Anchorage, AK",1987,85.51
"Anchorage, AK",1988,88.7625
"Anchorage, AK",1989,77.21
"Anchorage, AK",1990,79.3675
"Anchorage, AK",1991,90.39
"Anchorage, AK",1992,94.3525
"Anchorage, AK",1993,95.7175
"Anchorage, AK",1994,99.2875
"Anchorage, AK",1995,102.025
"Anchorage, AK",1996,106.155
"Anchorage, AK",1997,109.4475
"Anchorage, AK",1998,113.3875
"Anchorage, AK",1999,117.9825
"Anchorage, AK",2000,120.17
"Anchorage, AK",2001,127.1925
"Anchorage, AK",2002,135.225
"Anchorage, AK",2003,142.615
"Anchorage, AK",2004,157.8
"Anchorage, AK",2005,178.2775
"Anchorage, AK",2006,196.595
"Anchorage, AK",2007,202.835
"Anchorage, AK",2008,201.9
"Anchorage, AK",2009,201.1625
"Anchorage, AK",2010,200.2575
"Anchorage, AK",2011,200.9625
"Anchorage, AK",2012,201.035
"Anchorage, AK",2013,207.8025
"Anchorage, AK",2014,213.975
"Anchorage, AK",2015,220.405
"Anchorage, AK",2016,224.075
"Anchorage, AK",2017,225.51
"Anchorage, AK",2018,225.5425
"Anchorage, AK",2019,231.035
"Anchorage, AK",2020,238.2275
"Anchorage, AK",2021,257.11
"Anchorage, AK",2022,285.925
"Anchorage, AK",2023,301.29
"Ann Arbor, MI",1978,48.95333333
"Ann Arbor, MI",1979,54.0525
"Ann Arbor, MI",1980,55.4675
"Ann Arbor, MI",1981,58.74
"Ann Arbor, MI",1982,53.79333333
"Ann Arbor, MI",1983,53.8725
"Ann Arbor, MI",1984,54.2675
"Ann Arbor, MI",1985,55.5275
"Ann Arbor, MI",1986,59.69
"Ann Arbor, MI",1987,66.8775
"Ann Arbor, MI",1988,75.2175
"Ann Arbor, MI",1989,82.3625
"Ann Arbor, MI",1990,86.315
"Ann Arbor, MI",1991,89.005
"Ann Arbor, MI",1992,91.535
"Ann Arbor, MI",1993,93.0525
"Ann Arbor, MI",1994,96.815
"Ann Arbor, MI",1995,102.2125
"Ann Arbor, MI",1996,109.2825
"Ann Arbor, MI",1997,117.1425
"Ann Arbor, MI",1998,124.35
"Ann Arbor, MI",1999,134.47
"Ann Arbor, MI",2000,146.2975
"Ann Arbor, MI",2001,155.755
"Ann Arbor, MI",2002,164.6075
"Ann Arbor, MI",2003,171.0075
"Ann Arbor, MI",2004,179.2225
"Ann Arbor, MI",2005,186.2125
"Ann Arbor, MI",2006,181.92
"Ann Arbor, MI",2007,170.5175
"Ann Arbor, MI",2008,155.6025
"Ann Arbor, MI",2009,145.84
"Ann Arbor, MI",2010,140.435
"Ann Arbor, MI",2011,138.755
"Ann Arbor, MI",2012,139.4175
"Ann Arbor, MI",2013,150.795
"Ann Arbor, MI",2014,163.0425
"Ann Arbor, MI",2015,172.105
"Ann Arbor, MI",2016,180.81
"Ann Arbor, MI",2017,194.7
"Ann Arbor, MI",2018,207.5975
"Ann Arbor, MI",2019,217.3575
"Ann Arbor, MI",2020,224.2975
"Ann Arbor, MI",2021,245.8625
"Ann Arbor, MI",2022,278.585
"Ann Arbor, MI",2023,288.135
"Anniston-Oxford, AL",1992,91.67
"Anniston-Oxford, AL",1993,93.93
"Anniston-Oxford, AL",1994,96.4575
"Anniston-Oxford, AL",1995,99.49
"Anniston-Oxford, AL",1996,102.93
"Anniston-Oxford, AL",1997,109.3625
"Anniston-Oxford, AL",1998,115.005
"Anniston-Oxford, AL",1999,116.265
"Anniston-Oxford, AL",2000,118.9125
"Anniston-Oxford, AL",2001,127.5725
"Anniston-Oxford, AL",2002,132.92
"Anniston-Oxford, AL",2003,138.8
"Anniston-Oxford, AL",2004,143.5125
"Anniston-Oxford, AL",2005,151.92
"Anniston-Oxford, AL",2006,162.11
"Anniston-Oxford, AL",2007,169.5925
"Anniston-Oxford, AL",2008,171.58
"Anniston-Oxford, AL",2009,173.15
"Anniston-Oxford, AL",2010,164.075
"Anniston-Oxford, AL",2011,157.2925
"Anniston-Oxford, AL",2012,157.545
"Anniston-Oxford, AL",2013,155.8075
"Anniston-Oxford, AL",2014,155.105
"Anniston-Oxford, AL",2015,156.805
"Anniston-Oxford, AL",2016,160.195
"Anniston-Oxford, AL",2017,163.0725
