Year,MSA,"City, State",City,State,CoC Number,CoC Name,Overall Homeless,Population,Rate of Homelessness
2020,"Detroit-Warren-Dearborn, MI MSA","Detroit, MI",Detroit,MI,MI-503,"St. Clair Shores, Warren/Macomb County CoC",251,4384636,0.005724534
2020,"Detroit-Warren-Dearborn, MI MSA","Detroit, MI",Detroit,MI,MI-504,"Pontiac, Royal Oak/Oakland County CoC",459,4384636,0.010468372
2020,"Minneapolis-St Paul-Bloomington, MN-WI MSA","Minneapolis, MN",Minneapolis,MN,MN-500,Minneapolis/Hennepin County CoC,3049,3693860,0.082542381
2020,"Minneapolis-St Paul-Bloomington, MN-WI MSA","Minneapolis, MN",Minneapolis,MN,MN-501,Saint Paul/Ramsey County CoC,1630,3693860,0.044127281
2020,"St. Louis, MO-IL MSA","St. Louis, MO",St. Louis,MO,MO-500,St. Louis County CoC,479,2819023,0.016991702
2020,"St. Louis, MO-IL MSA","St. Louis, MO",St. Louis,MO,MO-501,St.Louis City CoC,1260,2819023,0.044696336
2020,"Kansas City, MO-KS MSA","Kansas City, KS",Kansas City,KS,MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",1973,2195043,0.089884344
2020,"Raleigh-Cary, NC MSA","Raleigh, NC",Raleigh,NC,NC-502,Durham City & County CoC,349,1417587,0.0246193
2020,"Charlotte-Concord-Gastonia, NC-SC MSA","Charlotte, NC",Charlotte,NC,NC-505,Charlotte/Mecklenberg CoC,1604,2668915,0.060099329
2020,"Raleigh-Cary, NC MSA","Raleigh, NC",Raleigh,NC,NC-507,Raleigh/Wake County CoC,974,1417587,0.068708305
2020,"Charlotte-Concord-Gastonia, NC-SC MSA","Charlotte, NC",Charlotte,NC,NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",325,2668915,0.012177233
2020,"Raleigh-Cary, NC MSA","Raleigh, NC",Raleigh,NC,NC-513,Chapel Hill/Orange County CoC,124,1417587,0.008747259
2020,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,NJ-500,Atlantic City & County CoC,443,6241540,0.007097607
2020,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",1047,6241540,0.016774706
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NJ-504,Newark/Essex County CoC,2209,20048886,0.011018069
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NJ-506,"Jersey City, Bayonne/Hudson County CoC",944,20048886,0.004708491
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NJ-507,New Brunswick/Middlesex County CoC,666,20048886,0.00332188
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NJ-508,Monmouth County CoC,399,20048886,0.001990136
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NJ-509,Morris County CoC,354,20048886,0.001765684
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NJ-510,Lakewood Township/Ocean County CoC,349,20048886,0.001740745
2020,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,NJ-512,Salem County CoC,32,6241540,0.000512694
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NJ-513,Somerset County CoC,342,20048886,0.00170583
2020,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,NJ-514,Trenton/Mercer County CoC,556,6241540,0.008908058
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NJ-515,Elizabeth/Union County CoC,484,20048886,0.002414099
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NJ-516,"Warren, Sussex, Hunterdon Counties CoC",349,20048886,0.001740745
2020,"Las Vegas-Henderson-Paradise, NV MSA","Las Vegas, NV",Las Vegas,NV,NV-500,Las Vegas/Clark County CoC,5283,2274734,0.232246935
2020,"Buffalo-Cheektowaga, NY MSA","Buffalo, NY",Buffalo,NY,NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",872,1164723,0.074867587
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NY-600,New York City CoC,77943,20048886,0.388764742
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NY-603,"Nassau, Suffolk Counties CoC",3807,20048886,0.018988586
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NY-604,"Yonkers, Mount Vernon/Westchester County CoC",1683,20048886,0.008394481
2020,"New York-Newark-Jersey City, NY-NJ-PA MSA","New York, NY",New York,NY,NY-606,Rockland County CoC,193,20048886,0.000962647
2020,"Cincinnati, OH-KY-IN MSA","Cincinnati, OH",Cincinnati,OH,OH-500,Cincinnati/Hamilton County CoC,1092,2258932,0.048341429
2020,"Cleveland-Elyria, OH MSA","Cleveland, OH",Cleveland,OH,OH-502,Cleveland/Cuyahoga County CoC,1675,2086509,0.080277631
2020,"Columbus, OH MSA","Columbus, OH",Columbus,OH,OH-503,Columbus/Franklin County CoC,2036,2141756,0.095062183
2020,"Oklahoma City, OK MSA","Oklahoma City, OK",Oklahoma City,OK,OK-502,Oklahoma City CoC,1573,1429854,0.110011232
2020,"Portland-Vancouver-Hillsboro, OR-WA MSA","Portland, OR",Portland,OR,OR-501,"Portland, Gresham/Multnomah County CoC",4173,2518007,0.165726307
2020,"Portland-Vancouver-Hillsboro, OR-WA MSA","Portland, OR",Portland,OR,OR-506,"Hillsboro, Beaverton/Washington County CoC",618,2518007,0.02454322
2020,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,PA-500,Philadelphia CoC,5634,6241540,0.090266184
2020,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",367,6241540,0.005879959
2020,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",282,6241540,0.004518116
2020,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,PA-505,Chester County CoC,522,6241540,0.008363321
2020,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,PA-506,Reading/Berks County CoC,524,6241540,0.008395364
2020,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,PA-511,"Bristol, Bensalem/Bucks County CoC",333,6241540,0.005335222
2020,"Pittsburgh, PA MSA","Pittsburgh, PA",Pittsburgh,PA,PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",887,2369166,0.037439335
2020,"Providence-Warwick, RI-MA MSA","Providence, MA",Providence,MA,RI-500,Rhode Island Statewide CoC,1104,1673082,0.065986007
2020,"Memphis, TN-MS-AR MSA","Memphis, TN",Memphis,TN,TN-501,Memphis/Shelby County CoC,1022,1338391,0.076360346
2020,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA","Nashville, TN",Nashville,TN,TN-504,Nashville-Davidson County CoC,2016,1996681,0.100967556
2020,"San Antonio-New Braunfels, TX MSA","San Antonio, TX",San Antonio,TX,TX-500,San Antonio/Bexar County CoC,2932,2568358,0.11415854
2020,"Austin-Round Rock-Georgetown, TX MSA","Austin, TX",Austin,TX,TX-503,Austin/Travis County CoC,2506,2299994,0.108956806
2020,"Dallas-Fort Worth-Arlington, TX MSA","Dallas, TX",Dallas,TX,TX-600,"Dallas City & County, Irving CoC",4471,7665875,0.058323414
2020,"Dallas-Fort Worth-Arlington, TX MSA","Dallas, TX",Dallas,TX,TX-601,"Fort Worth, Arlington/Tarrant County CoC",2126,7665875,0.027733299
2020,"Houston-The Woodlands-Sugar Land, TX MSA","Houston, TX",Houston,TX,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",3974,7140749,0.055652425
2020,"Salt Lake City, UT MSA","Salt Lake City, UT",Salt Lake City,UT,UT-500,Salt Lake City & County CoC,1958,1260259,0.155364889
2020,"Richmond, VA MSA","Richmond, VA",Richmond,VA,VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",546,1316556,0.04147184
2020,"Virginia Beach-Norfolk-Newport News, VA-NC MSA","Virginia Beach, VA",Virginia Beach,VA,VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",709,1801090,0.039365051
2020,"Virginia Beach-Norfolk-Newport News, VA-NC MSA","Virginia Beach, VA",Virginia Beach,VA,VA-503,Virginia Beach CoC,319,1801090,0.017711497
2020,"Virginia Beach-Norfolk-Newport News, VA-NC MSA","Virginia Beach, VA",Virginia Beach,VA,VA-505,"Newport News, Hampton/Virginia Peninsula CoC",425,1801090,0.023596822
2020,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington, DC",Washington,DC,VA-600,Arlington County CoC,199,6366679,0.003125648
