"","City","State","Income","MoE","Year"
"2","Birmingham city"," Alabama",30212,1684,2010
"3","Dothan city"," Alabama",39806,2577,2010
"4","Hoover city"," Alabama",69359,7066,2010
"5","Huntsville city"," Alabama",44419,4013,2010
"6","Mobile city"," Alabama",37438,2401,2010
"7","Montgomery city"," Alabama",41380,1750,2010
"8","Tuscaloosa city"," Alabama",35838,4414,2010
"9","Anchorage municipality"," Alaska",72128,3531,2010
"10","Avondale city"," Arizona",61369,3206,2010
"11","Chandler city"," Arizona",67648,3751,2010
"12","Flagstaff city"," Arizona",45042,4505,2010
"13","Gilbert town"," Arizona",77866,4601,2010
"14","Glendale city"," Arizona",45699,3582,2010
"15","Goodyear city"," Arizona",71030,4109,2010
"16","Mesa city"," Arizona",44747,1772,2010
"17","Peoria city"," Arizona",53848,2321,2010
"18","Phoenix city"," Arizona",42260,1090,2010
"19","San Tan Valley CDP"," Arizona",59434,6942,2010
"20","Scottsdale city"," Arizona",68824,5183,2010
"21","Surprise city"," Arizona",57114,4881,2010
"22","Tempe city"," Arizona",45151,3938,2010
"23","Tucson city"," Arizona",36428,1560,2010
"24","Yuma city"," Arizona",45789,7838,2010
"25","Fayetteville city"," Arkansas",32908,3103,2010
"26","Fort Smith city"," Arkansas",37856,2569,2010
"27","Jonesboro city"," Arkansas",34329,3065,2010
"28","Little Rock city"," Arkansas",44415,3162,2010
"29","Springdale city"," Arkansas",40256,4323,2010
"30","Alameda city"," California",68731,7783,2010
"31","Alhambra city"," California",49435,7560,2010
"32","Anaheim city"," California",54157,3485,2010
"33","Antioch city"," California",62088,7207,2010
"34","Apple Valley town"," California",46250,3772,2010
"35","Arden-Arcade CDP"," California",41476,4149,2010
"36","Bakersfield city"," California",53038,2597,2010
"37","Baldwin Park city"," California",43546,6927,2010
"38","Bellflower city"," California",47024,5725,2010
"39","Berkeley city"," California",56623,6288,2010
"40","Buena Park city"," California",61262,9280,2010
"41","Burbank city"," California",61520,5707,2010
"42","Camarillo city"," California",72193,6794,2010
"43","Carlsbad city"," California",77097,10207,2010
"44","Carson city"," California",67192,7014,2010
"45","Chico city"," California",44062,3501,2010
"46","Chino city"," California",70942,7683,2010
"47","Chino Hills city"," California",100099,7579,2010
"48","Chula Vista city"," California",66246,4597,2010
"49","Citrus Heights city"," California",50280,3792,2010
"50","Clovis city"," California",65471,4869,2010
"51","Compton city"," California",43728,4638,2010
"52","Concord city"," California",65695,7706,2010
"53","Corona city"," California",74015,3877,2010
"54","Costa Mesa city"," California",63570,3892,2010
"55","Daly City city"," California",72307,6052,2010
"56","Davis city"," California",58771,16007,2010
"57","Downey city"," California",53490,3149,2010
"58","East Los Angeles CDP"," California",38986,2498,2010
"59","El Cajon city"," California",43435,4417,2010
"60","Elk Grove city"," California",75590,4176,2010
"61","El Monte city"," California",41076,3846,2010
"62","Escondido city"," California",43102,2939,2010
"63","Fairfield city"," California",61603,3760,2010
"64","Folsom city"," California",93620,8063,2010
"65","Fontana city"," California",58579,4588,2010
"66","Fremont city"," California",87385,6832,2010
"67","Fresno city"," California",41144,1749,2010
"68","Fullerton city"," California",65360,4651,2010
"69","Garden Grove city"," California",60974,3310,2010
"70","Glendale city"," California",51923,6072,2010
"71","Hawthorne city"," California",41541,2297,2010
"72","Hayward city"," California",59890,5957,2010
"73","Hemet city"," California",31739,2813,2010
"74","Hesperia city"," California",42651,6485,2010
"75","Huntington Beach city"," California",72469,3438,2010
"76","Indio city"," California",36355,4897,2010
"77","Inglewood city"," California",40761,3285,2010
"78","Irvine city"," California",85615,5582,2010
"79","Lake Forest city"," California",91670,14009,2010
"80","Lakewood city"," California",73793,6358,2010
"81","Lancaster city"," California",50492,5170,2010
"82","Livermore city"," California",95941,9571,2010
"83","Long Beach city"," California",51426,1803,2010
"84","Los Angeles city"," California",47031,755,2010
"85","Lynwood city"," California",38417,5545,2010
"86","Manteca city"," California",57082,6500,2010
"87","Menifee city"," California",52739,4407,2010
"88","Merced city"," California",39834,6471,2010
"89","Milpitas city"," California",92398,13376,2010
"90","Mission Viejo city"," California",92838,5747,2010
"91","Modesto city"," California",47983,3956,2010
"92","Moreno Valley city"," California",48907,5318,2010
"93","Mountain View city"," California",90993,10706,2010
"94","Murrieta city"," California",70962,4771,2010
"95","Napa city"," California",52991,4274,2010
"96","Newport Beach city"," California",97140,5139,2010
"97","Norwalk city"," California",57149,4606,2010
"98","Oakland city"," California",49190,2537,2010
"99","Oceanside city"," California",62422,3337,2010
"100","Ontario city"," California",53764,5027,2010
"101","Orange city"," California",72784,4680,2010
"102","Oxnard city"," California",61316,2523,2010
"103","Palmdale city"," California",53048,2830,2010
"104","Pasadena city"," California",67047,6565,2010
"105","Perris city"," California",45251,5236,2010
"106","Pittsburg city"," California",56663,3833,2010
"107","Pleasanton city"," California",109662,9625,2010
"108","Pomona city"," California",45909,3822,2010
"109","Rancho Cucamonga city"," California",76640,6681,2010
"110","Redding city"," California",40741,2650,2010
"111","Redlands city"," California",71758,4823,2010
"112","Redondo Beach city"," California",90507,3828,2010
"113","Redwood City city"," California",76468,7286,2010
"114","Rialto city"," California",46818,4346,2010
"115","Richmond city"," California",46996,4553,2010
"116","Riverside city"," California",53847,2303,2010
"117","Roseville city"," California",69932,7113,2010
"118","Sacramento city"," California",46731,2234,2010
"119","Salinas city"," California",47738,3102,2010
"120","San Bernardino city"," California",38640,4132,2010
"121","San Buenaventura (Ventura) city"," California",60722,5325,2010
"122","San Diego city"," California",60037,1381,2010
"123","San Francisco city"," California",71745,2387,2010
"124","San Jose city"," California",76794,2512,2010
"125","San Leandro city"," California",65333,9238,2010
"126","San Marcos city"," California",47942,5820,2010
"127","San Mateo city"," California",82075,5944,2010
"128","San Ramon city"," California",115347,10794,2010
"129","Santa Ana city"," California",51467,1592,2010
"130","Santa Barbara city"," California",61245,7700,2010
"131","Santa Clara city"," California",81366,7466,2010
"132","Santa Clarita city"," California",76384,2122,2010
"133","Santa Maria city"," California",51450,2819,2010
"134","Santa Monica city"," California",66269,6316,2010
"135","Santa Rosa city"," California",54666,3510,2010
"136","Simi Valley city"," California",84507,8686,2010
"137","South Gate city"," California",39739,4430,2010
"138","Stockton city"," California",45606,2605,2010
"139","Sunnyvale city"," California",95582,6671,2010
"140","Temecula city"," California",70194,4979,2010
"141","Thousand Oaks city"," California",95281,8202,2010
"142","Torrance city"," California",69288,4632,2010
"143","Tracy city"," California",70894,7105,2010
"144","Turlock city"," California",53605,4399,2010
"145","Tustin city"," California",73889,6813,2010
"146","Union City city"," California",77745,6248,2010
"147","Upland city"," California",61497,5741,2010
"148","Vacaville city"," California",71706,6290,2010
"149","Vallejo city"," California",56209,4593,2010
"150","Victorville city"," California",52062,5599,2010
"151","Visalia city"," California",51464,3080,2010
"152","Vista city"," California",46033,3691,2010
"153","West Covina city"," California",62413,3082,2010
"154","Westminster city"," California",49889,7905,2010
"155","Whittier city"," California",60540,8046,2010
"156","Yorba Linda city"," California",100788,7680,2010
"157","Arvada city"," Colorado",61046,4973,2010
"158","Aurora city"," Colorado",50358,2250,2010
"159","Boulder city"," Colorado",52618,5323,2010
"160","Centennial city"," Colorado",79690,6012,2010
"161","Colorado Springs city"," Colorado",49929,1580,2010
"162","Denver city"," Colorado",45074,1385,2010
"163","Fort Collins city"," Colorado",47752,3497,2010
"164","Greeley city"," Colorado",42404,6047,2010
"165","Highlands Ranch CDP"," Colorado",105237,7448,2010
"166","Lakewood city"," Colorado",51937,3174,2010
"167","Longmont city"," Colorado",52922,5618,2010
"168","Loveland city"," Colorado",54062,5474,2010
"169","Pueblo city"," Colorado",34415,3331,2010
"170","Thornton city"," Colorado",62512,4637,2010
"171","Westminster city"," Colorado",60242,4486,2010
"172","Bridgeport city"," Connecticut",38919,4658,2010
"173","Danbury city"," Connecticut",58124,5736,2010
"174","Hartford city"," Connecticut",26499,2952,2010
"175","New Britain city"," Connecticut",36784,4508,2010
"176","New Haven city"," Connecticut",35122,6095,2010
"177","Norwalk city"," Connecticut",67848,6198,2010
"178","Stamford city"," Connecticut",66617,5264,2010
"179","Waterbury city"," Connecticut",38672,4573,2010
"180","Wilmington city"," Delaware",32884,4304,2010
"181","Washington city"," District of Columbia",60903,1540,2010
"182","Alafaya CDP"," Florida",56666,6959,2010
"183","Boca Raton city"," Florida",68393,6591,2010
"184","Boynton Beach city"," Florida",39485,4498,2010
"185","Brandon CDP"," Florida",52228,3544,2010
"186","Cape Coral city"," Florida",44803,3206,2010
"187","Clearwater city"," Florida",37841,2822,2010
"188","Coral Springs city"," Florida",65348,6566,2010
"189","Davie town"," Florida",58175,6567,2010
"190","Deerfield Beach city"," Florida",33726,4647,2010
"191","Deltona city"," Florida",50682,4438,2010
"192","Fort Lauderdale city"," Florida",43320,2703,2010
"193","Fort Myers city"," Florida",31835,3189,2010
"194","Gainesville city"," Florida",31132,3166,2010
"195","Hialeah city"," Florida",29296,1664,2010
"196","Hollywood city"," Florida",41188,3611,2010
"197","Jacksonville city"," Florida",45584,1345,2010
"198","Kendall CDP"," Florida",54673,7527,2010
"199","Lakeland city"," Florida",36754,3579,2010
"200","Largo city"," Florida",39139,5212,2010
"201","Lauderhill city"," Florida",32478,5827,2010
"202","Lehigh Acres CDP"," Florida",43590,4517,2010
"203","Melbourne city"," Florida",41254,2397,2010
"204","Miami city"," Florida",27291,1827,2010
"205","Miami Beach city"," Florida",38640,5430,2010
"206","Miami Gardens city"," Florida",39571,3639,2010
"207","Miramar city"," Florida",61474,4188,2010
"208","Orlando city"," Florida",38098,2288,2010
"209","Palm Bay city"," Florida",41591,3454,2010
"210","Palm Coast city"," Florida",42894,4898,2010
"211","Pembroke Pines city"," Florida",61163,4903,2010
"212","Plantation city"," Florida",53547,5701,2010
"213","Pompano Beach city"," Florida",36122,1987,2010
"214","Port St. Lucie city"," Florida",44560,3008,2010
"215","Riverview CDP"," Florida",61064,4064,2010
"216","St. Petersburg city"," Florida",43728,2502,2010
"217","Spring Hill CDP"," Florida",39227,3758,2010
"218","Sunrise city"," Florida",50193,3817,2010
"219","Tallahassee city"," Florida",35911,2436,2010
"220","Tampa city"," Florida",40883,1516,2010
"221","Town 'n' Country CDP"," Florida",46914,3779,2010
"222","Weston city"," Florida",78030,6879,2010
"223","West Palm Beach city"," Florida",41139,3077,2010
"224","Albany city"," Georgia",25191,3677,2010
"225","Athens-Clarke County unified government (balance)"," Georgia",33853,3693,2010
"226","Atlanta city"," Georgia",41631,1114,2010
"227","Augusta-Richmond County consolidated government (balance)"," Georgia",39120,2667,2010
"228","Columbus city"," Georgia",35384,2095,2010
"229","Johns Creek city"," Georgia",106132,9236,2010
"230","Macon city"," Georgia",24513,2630,2010
"231","Roswell city"," Georgia",67368,9459,2010
"232","Sandy Springs city"," Georgia",59110,6614,2010
"233","Savannah city"," Georgia",32562,2286,2010
"234","Warner Robins city"," Georgia",45129,7212,2010
"235","Urban Honolulu CDP"," Hawaii",54828,2756,2010
"236","Boise City city"," Idaho",44410,1974,2010
"237","Meridian city"," Idaho",60230,5411,2010
"238","Nampa city"," Idaho",41360,4132,2010
"239","Arlington Heights village"," Illinois",68613,6782,2010
"240","Aurora city"," Illinois",60786,5025,2010
"241","Bloomington city"," Illinois",57151,5078,2010
"242","Bolingbrook village"," Illinois",77018,6614,2010
"243","Champaign city"," Illinois",40277,5383,2010
"244","Chicago city"," Illinois",44776,912,2010
"245","Cicero town"," Illinois",45731,3884,2010
"246","Decatur city"," Illinois",32833,4493,2010
"247","Elgin city"," Illinois",54607,3006,2010
"248","Evanston city"," Illinois",60424,8259,2010
"249","Joliet city"," Illinois",54642,4641,2010
"250","Naperville city"," Illinois",98816,9889,2010
"251","Palatine village"," Illinois",68993,5420,2010
"252","Peoria city"," Illinois",48913,3694,2010
"253","Rockford city"," Illinois",36178,2702,2010
"254","Schaumburg village"," Illinois",62395,4273,2010
"255","Skokie village"," Illinois",62405,5739,2010
"256","Springfield city"," Illinois",44598,3159,2010
"257","Waukegan city"," Illinois",43955,3619,2010
"258","Bloomington city"," Indiana",25406,2311,2010
"259","Carmel city"," Indiana",103667,8477,2010
"260","Evansville city"," Indiana",33039,1816,2010
"261","Fishers town"," Indiana",84254,7438,2010
"262","Fort Wayne city"," Indiana",42609,1730,2010
"263","Gary city"," Indiana",27610,3125,2010
"264","Hammond city"," Indiana",37308,2839,2010
"265","Indianapolis city (balance)"," Indiana",38502,1237,2010
"266","Lafayette city"," Indiana",34056,2963,2010
"267","Muncie city"," Indiana",29237,2455,2010
"268","South Bend city"," Indiana",32511,2740,2010
"269","Cedar Rapids city"," Iowa",51186,2215,2010
"270","Davenport city"," Iowa",38961,3080,2010
"271","Des Moines city"," Iowa",42986,2565,2010
"272","Iowa City city"," Iowa",39887,5279,2010
"273","Sioux City city"," Iowa",40781,2800,2010
"274","Waterloo city"," Iowa",37110,4178,2010
"275","Kansas City city"," Kansas",36677,2445,2010
"276","Lawrence city"," Kansas",45471,3847,2010
"277","Olathe city"," Kansas",69687,3465,2010
"278","Overland Park city"," Kansas",69490,3648,2010
"279","Topeka city"," Kansas",37001,2588,2010
"280","Wichita city"," Kansas",42694,1852,2010
"281","Lexington-Fayette urban county"," Kentucky",44895,3767,2010
"282","Louisville/Jefferson County metro government (balance)"," Kentucky",40730,1041,2010
"283","Baton Rouge city"," Louisiana",33748,2389,2010
"284","Kenner city"," Louisiana",48371,2536,2010
"285","Lafayette city"," Louisiana",44204,5647,2010
"286","Lake Charles city"," Louisiana",35314,3956,2010
"287","Metairie CDP"," Louisiana",46399,2464,2010
"288","New Orleans city"," Louisiana",37726,2378,2010
"289","Shreveport city"," Louisiana",32848,2720,2010
"290","Portland city"," Maine",45525,6574,2010
"291","Baltimore city"," Maryland",38346,1533,2010
"292","Columbia CDP"," Maryland",90312,9556,2010
"293","Ellicott City CDP"," Maryland",102986,11131,2010
"294","Frederick city"," Maryland",67286,4850,2010
"295","Germantown CDP"," Maryland",87165,6112,2010
"296","Silver Spring CDP"," Maryland",62187,5078,2010
"297","Waldorf CDP"," Maryland",77475,5905,2010
"298","Boston city"," Massachusetts",49893,2442,2010
"299","Brockton city"," Massachusetts",47472,5052,2010
"300","Cambridge city"," Massachusetts",64790,5017,2010
"301","Fall River city"," Massachusetts",30720,2328,2010
"302","Framingham CDP"," Massachusetts",73137,13165,2010
"303","Lawrence city"," Massachusetts",31459,4884,2010
"304","Lowell city"," Massachusetts",51528,3116,2010
"305","Lynn city"," Massachusetts",42468,6777,2010
"306","New Bedford city"," Massachusetts",31616,3338,2010
"307","Newton city"," Massachusetts",104486,10012,2010
"308","Quincy city"," Massachusetts",55735,5806,2010
"309","Somerville city"," Massachusetts",54491,5246,2010
"310","Springfield city"," Massachusetts",35236,2492,2010
"311","Worcester city"," Massachusetts",42887,3929,2010
"312","Ann Arbor city"," Michigan",52711,2715,2010
"313","Dearborn city"," Michigan",43505,4259,2010
"314","Detroit city"," Michigan",25787,872,2010
"315","Farmington Hills city"," Michigan",60562,2985,2010
"316","Flint city"," Michigan",22672,3798,2010
"317","Grand Rapids city"," Michigan",36128,2256,2010
"318","Kalamazoo city"," Michigan",31421,2464,2010
"319","Lansing city"," Michigan",34770,2167,2010
"320","Livonia city"," Michigan",65391,4323,2010
"321","Rochester Hills city"," Michigan",68386,6827,2010
"322","Southfield city"," Michigan",47197,3802,2010
"323","Sterling Heights city"," Michigan",53390,3132,2010
"324","Troy city"," Michigan",77827,3351,2010
"325","Warren city"," Michigan",41587,2755,2010
"326","Westland city"," Michigan",39657,3334,2010
"327","Wyoming city"," Michigan",40454,2885,2010
"328","Bloomington city"," Minnesota",56407,2783,2010
"329","Brooklyn Park city"," Minnesota",56486,9313,2010
"330","Duluth city"," Minnesota",37646,3402,2010
"331","Minneapolis city"," Minnesota",46508,2760,2010
"332","Plymouth city"," Minnesota",81054,7397,2010
"333","Rochester city"," Minnesota",56826,3530,2010
"334","St. Cloud city"," Minnesota",39782,3574,2010
"335","St. Paul city"," Minnesota",44057,3019,2010
"336","Gulfport city"," Mississippi",36104,3665,2010
"337","Jackson city"," Mississippi",34699,2420,2010
"338","Columbia city"," Missouri",35793,4699,2010
"339","Independence city"," Missouri",40895,2450,2010
"340","Kansas City city"," Missouri",42780,1670,2010
"341","Lee's Summit city"," Missouri",70442,8898,2010
"342","O'Fallon city"," Missouri",70258,8262,2010
"343","St. Charles city"," Missouri",50154,6635,2010
"344","St. Joseph city"," Missouri",39510,5013,2010
"345","St. Louis city"," Missouri",32688,1366,2010
"346","Springfield city"," Missouri",28697,2020,2010
"347","Billings city"," Montana",45941,4356,2010
"348","Missoula city"," Montana",40604,3549,2010
"349","Lincoln city"," Nebraska",47526,2088,2010
"350","Omaha city"," Nebraska",43813,1529,2010
"351","Enterprise CDP"," Nevada",66699,4417,2010
"352","Henderson city"," Nevada",61861,2680,2010
"353","Las Vegas city"," Nevada",50783,1682,2010
"354","North Las Vegas city"," Nevada",52263,3453,2010
"355","Paradise CDP"," Nevada",46199,2411,2010
"356","Reno city"," Nevada",42008,2931,2010
"357","Sparks city"," Nevada",50033,6107,2010
"358","Spring Valley CDP"," Nevada",50896,3171,2010
"359","Sunrise Manor CDP"," Nevada",36017,2663,2010
"360","Manchester city"," New Hampshire",53858,4601,2010
"361","Nashua city"," New Hampshire",65135,6275,2010
"362","Camden city"," New Jersey",28720,3823,2010
"363","Clifton city"," New Jersey",58716,6244,2010
"364","East Orange city"," New Jersey",36744,5033,2010
"365","Elizabeth city"," New Jersey",43891,2887,2010
"366","Jersey City city"," New Jersey",52950,3578,2010
"367","Newark city"," New Jersey",32043,1969,2010
"368","Passaic city"," New Jersey",28834,3126,2010
"369","Paterson city"," New Jersey",32068,2935,2010
"370","Toms River CDP"," New Jersey",74921,3427,2010
"371","Trenton city"," New Jersey",38040,4915,2010
"372","Union City city"," New Jersey",40761,6763,2010
"373","Albuquerque city"," New Mexico",46079,1856,2010
"374","Las Cruces city"," New Mexico",36202,3663,2010
"375","Rio Rancho city"," New Mexico",53998,5246,2010
"376","Santa Fe city"," New Mexico",44090,6471,2010
"377","Albany city"," New York",33050,4022,2010
"378","Buffalo city"," New York",28490,2374,2010
"379","Cheektowaga CDP"," New York",46865,3311,2010
"380","Mount Vernon city"," New York",46940,4586,2010
"381","New Rochelle city"," New York",70232,10299,2010
"382","New York city"," New York",48743,653,2010
"383","Rochester city"," New York",27711,1995,2010
"384","Schenectady city"," New York",36232,2436,2010
"385","Syracuse city"," New York",29621,2434,2010
"386","Yonkers city"," New York",61831,3240,2010
"387","Asheville city"," North Carolina",41392,4071,2010
"388","Cary town"," North Carolina",88031,8726,2010
"389","Charlotte city"," North Carolina",49616,1688,2010
"390","Concord city"," North Carolina",47726,2699,2010
"391","Durham city"," North Carolina",45525,1480,2010
"392","Fayetteville city"," North Carolina",43257,2206,2010
"393","Gastonia city"," North Carolina",34383,4796,2010
"394","Greensboro city"," North Carolina",39622,2079,2010
"395","Greenville city"," North Carolina",32827,4892,2010
"396","High Point city"," North Carolina",40894,2402,2010
"397","Jacksonville city"," North Carolina",40336,4589,2010
"398","Raleigh city"," North Carolina",49931,1754,2010
"399","Wilmington city"," North Carolina",40494,3627,2010
"400","Winston-Salem city"," North Carolina",40401,2289,2010
"401","Fargo city"," North Dakota",45199,3221,2010
"402","Akron city"," Ohio",31171,1715,2010
"403","Canton city"," Ohio",30232,3106,2010
"404","Cincinnati city"," Ohio",34110,2189,2010
"405","Cleveland city"," Ohio",25977,995,2010
"406","Columbus city"," Ohio",41397,1086,2010
"407","Dayton city"," Ohio",28050,2017,2010
"408","Lorain city"," Ohio",34346,2457,2010
"409","Parma city"," Ohio",45386,4129,2010
"410","Toledo city"," Ohio",31708,1317,2010
"411","Youngstown city"," Ohio",23761,2717,2010
"412","Broken Arrow city"," Oklahoma",60197,3242,2010
"413","Edmond city"," Oklahoma",67013,5873,2010
"414","Lawton city"," Oklahoma",41566,2568,2010
"415","Norman city"," Oklahoma",44396,3782,2010
"416","Oklahoma City city"," Oklahoma",44043,1725,2010
"417","Tulsa city"," Oklahoma",38220,1606,2010
"418","Beaverton city"," Oregon",54885,4404,2010
"419","Bend city"," Oregon",46381,4865,2010
"420","Eugene city"," Oregon",40701,2766,2010
"421","Gresham city"," Oregon",47164,3634,2010
"422","Hillsboro city"," Oregon",63618,7135,2010
"423","Medford city"," Oregon",39825,5544,2010
"424","Portland city"," Oregon",47185,1723,2010
"425","Salem city"," Oregon",42898,3706,2010
"426","Allentown city"," Pennsylvania",32192,2875,2010
"427","Bethlehem city"," Pennsylvania",42232,3376,2010
"428","Erie city"," Pennsylvania",28747,2439,2010
"429","Philadelphia city"," Pennsylvania",34400,1159,2010
"430","Pittsburgh city"," Pennsylvania",36196,1743,2010
"431","Reading city"," Pennsylvania",25045,2811,2010
"432","Scranton city"," Pennsylvania",35596,2407,2010
"433","Cranston city"," Rhode Island",57649,8461,2010
"434","Pawtucket city"," Rhode Island",33904,7210,2010
"435","Providence city"," Rhode Island",37237,2848,2010
"436","Warwick city"," Rhode Island",51037,2710,2010
"437","Charleston city"," South Carolina",47009,3033,2010
"438","Columbia city"," South Carolina",37041,4063,2010
"439","Mount Pleasant town"," South Carolina",70636,6653,2010
"440","North Charleston city"," South Carolina",38693,5581,2010
"441","Rock Hill city"," South Carolina",39950,6262,2010
"442","Rapid City city"," South Dakota",41653,3853,2010
"443","Sioux Falls city"," South Dakota",47466,2792,2010
"444","Chattanooga city"," Tennessee",35817,2026,2010
"445","Clarksville city"," Tennessee",43326,3705,2010
"446","Jackson city"," Tennessee",38169,4760,2010
"447","Knoxville city"," Tennessee",29903,1396,2010
"448","Memphis city"," Tennessee",37045,1180,2010
"449","Murfreesboro city"," Tennessee",45158,3327,2010
"450","Nashville-Davidson metropolitan government (balance)"," Tennessee",42813,1443,2010
"451","Abilene city"," Texas",40244,2924,2010
"452","Allen city"," Texas",85799,4357,2010
"453","Amarillo city"," Texas",44826,2979,2010
"454","Arlington city"," Texas",48752,2452,2010
"455","Atascocita CDP"," Texas",78764,11132,2010
"456","Austin city"," Texas",47434,1606,2010
"457","Baytown city"," Texas",46178,4647,2010
"458","Beaumont city"," Texas",35174,4673,2010
"459","Brownsville city"," Texas",30454,2900,2010
"460","Bryan city"," Texas",30493,5269,2010
"461","Carrollton city"," Texas",67069,8394,2010
"462","College Station city"," Texas",35045,8197,2010
"463","Corpus Christi city"," Texas",41845,2872,2010
"464","Dallas city"," Texas",40650,850,2010
"465","Denton city"," Texas",44376,3617,2010
"466","Edinburg city"," Texas",35845,4576,2010
"467","El Paso city"," Texas",37278,1309,2010
"468","Flower Mound town"," Texas",105637,10515,2010
"469","Fort Worth city"," Texas",48224,1810,2010
"470","Frisco city"," Texas",100686,9942,2010
"471","Garland city"," Texas",52114,2910,2010
"472","Grand Prairie city"," Texas",50030,3322,2010
"473","Harlingen city"," Texas",34871,5918,2010
"474","Houston city"," Texas",42355,923,2010
"475","Irving city"," Texas",46526,2857,2010
"476","Killeen city"," Texas",47698,3678,2010
"477","Laredo city"," Texas",35997,2946,2010
"478","League City city"," Texas",90285,8287,2010
"479","Lewisville city"," Texas",56756,5399,2010
"480","Longview city"," Texas",37459,5230,2010
"481","Lubbock city"," Texas",40712,2819,2010
"482","McAllen city"," Texas",41018,2614,2010
"483","McKinney city"," Texas",73826,10018,2010
"484","Mesquite city"," Texas",46183,3168,2010
"485","Midland city"," Texas",52258,3196,2010
"486","Mission city"," Texas",42126,5544,2010
"487","Missouri City city"," Texas",72010,9034,2010
"488","North Richland Hills city"," Texas",54536,4946,2010
"489","Odessa city"," Texas",43248,4535,2010
"490","Pasadena city"," Texas",41280,3986,2010
"491","Pearland city"," Texas",89133,8331,2010
"492","Pharr city"," Texas",31286,5147,2010
"493","Plano city"," Texas",79234,5548,2010
"494","Richardson city"," Texas",64841,5634,2010
"495","Round Rock city"," Texas",61106,5401,2010
"496","San Angelo city"," Texas",36167,3920,2010
"497","San Antonio city"," Texas",43758,1007,2010
"498","Sugar Land city"," Texas",100632,13641,2010
"499","Temple city"," Texas",48472,5964,2010
"500","The Woodlands CDP"," Texas",91378,8351,2010
"501","Tyler city"," Texas",39755,3000,2010
"502","Waco city"," Texas",30947,2802,2010
"503","Wichita Falls city"," Texas",36801,2357,2010
"504","Layton city"," Utah",53876,3160,2010
"505","Ogden city"," Utah",39078,2380,2010
"506","Orem city"," Utah",49647,3578,2010
"507","Provo city"," Utah",36949,4330,2010
"508","St. George city"," Utah",46959,4982,2010
"509","Salt Lake City city"," Utah",40219,1914,2010
"510","Sandy city"," Utah",70931,4840,2010
"511","West Jordan city"," Utah",66453,3555,2010
"512","West Valley City city"," Utah",51421,2920,2010
"513","Alexandria city"," Virginia",77793,5014,2010
"514","Arlington CDP"," Virginia",94986,4776,2010
"515","Centreville CDP"," Virginia",92643,7048,2010
"516","Chesapeake city"," Virginia",68955,3078,2010
"517","Dale City CDP"," Virginia",81096,9752,2010
"518","Hampton city"," Virginia",51275,1446,2010
"519","Lynchburg city"," Virginia",35156,3544,2010
"520","Newport News city"," Virginia",50937,2777,2010
"521","Norfolk city"," Virginia",41613,2134,2010
"522","Portsmouth city"," Virginia",43674,3013,2010
"523","Richmond city"," Virginia",39608,2341,2010
"524","Roanoke city"," Virginia",37472,2681,2010
"525","Suffolk city"," Virginia",69294,6608,2010
"526","Virginia Beach city"," Virginia",64212,2475,2010
"527","Auburn city"," Washington",57642,6868,2010
"528","Bellevue city"," Washington",80500,5437,2010
"529","Bellingham city"," Washington",39599,6390,2010
"530","Everett city"," Washington",42440,3697,2010
"531","Federal Way city"," Washington",53716,7272,2010
"532","Kennewick city"," Washington",45215,5635,2010
"533","Kent city"," Washington",48688,4714,2010
"534","Renton city"," Washington",61819,3776,2010
"535","Seattle city"," Washington",60212,2172,2010
"536","Spokane city"," Washington",41146,1899,2010
"537","Spokane Valley city"," Washington",44419,2525,2010
"538","Tacoma city"," Washington",47465,2667,2010
"539","Vancouver city"," Washington",47307,2917,2010
"540","Yakima city"," Washington",37201,4314,2010
"541","Appleton city"," Wisconsin",50076,5565,2010
"542","Eau Claire city"," Wisconsin",41274,1502,2010
"543","Green Bay city"," Wisconsin",41078,1876,2010
"544","Kenosha city"," Wisconsin",42294,3912,2010
"545","Madison city"," Wisconsin",50508,1861,2010
"546","Milwaukee city"," Wisconsin",32911,1243,2010
"547","Oshkosh city"," Wisconsin",41165,4695,2010
"548","Racine city"," Wisconsin",33473,2549,2010
"549","Waukesha city"," Wisconsin",53149,3015,2010
"550","Bayamón zona urbana"," Puerto Rico",23934,1598,2010
"551","Caguas zona urbana"," Puerto Rico",21133,1563,2010
"552","Carolina zona urbana"," Puerto Rico",28971,1970,2010
"553","Guaynabo zona urbana"," Puerto Rico",39206,3253,2010
"554","Mayagüez zona urbana"," Puerto Rico",14563,2290,2010
"555","Ponce zona urbana"," Puerto Rico",16293,1386,2010
"556","San Juan zona urbana"," Puerto Rico",23099,1415,2010
"2100","Birmingham city"," Alabama",28646,2227,2011
"3100","Dothan city"," Alabama",41492,2784,2011
"4100","Hoover city"," Alabama",75352,8547,2011
"5100","Huntsville city"," Alabama",45018,2889,2011
"648","Mobile city"," Alabama",40153,2255,2011
"710","Montgomery city"," Alabama",43233,2984,2011
"810","Tuscaloosa city"," Alabama",34724,3304,2011
"910","Anchorage municipality"," Alaska",72813,3563,2011
"1010","Avondale city"," Arizona",51363,7935,2011
"1110","Casas Adobes CDP"," Arizona",52641,6955,2011
"1210","Chandler city"," Arizona",69260,4612,2011
"1310","Flagstaff city"," Arizona",42551,3964,2011
"1410","Gilbert town"," Arizona",71207,6644,2011
"1510","Glendale city"," Arizona",48079,3665,2011
"1610","Goodyear city"," Arizona",52194,7246,2011
"1710","Mesa city"," Arizona",44527,1988,2011
